"unique.paste.TruncatedODdata.Node_O..TruncatedODdata.Node_D.."
"222" "18223 14070"
"223" "14687 15769"
"224" "18541 15544"
"225" "16518 19532"
"226" "12906 20408"
"227" "12598 12436"
"228" "10334 14687"
"229" "21903 13342"
"230" "12598 18046"
"231" "13514 10195"
"232" "12904 13094"
"233" "16518 11467"
"234" "14556 13094"
"235" "12598 18924"
"236" "17437 1380003829"
"237" "12598 13035"
"238" "18223 19178"
"239" "17935 13094"
"240" "16657 20381"
"241" "19108 15942"
"242" "16657 18025"
"243" "14078 18534"
"244" "10470 19879"
"245" "14687 10578"
"246" "16657 14544"
"247" "18682 14415"
"248" "16518 18223"
"249" "12598 13608"
"250" "13514 21757"
"251" "14078 21838"
"252" "12906 18534"
"253" "14415 11087"
"254" "14576 10470"
"255" "13514 21905"
"256" "11087 17165"
"257" "11193 16657"
"258" "21757 17625"
"259" "16539 16518"
"260" "13514 18223"
"261" "12612 21690"
"262" "18223 14415"
"263" "15660 14687"
"264" "21640 18534"
"265" "16518 17743"
"266" "19108 20365"
"267" "13514 15615"
"268" "14380 16518"
"269" "16657 10334"
"270" "11087 20408"
"271" "12612 17935"
"272" "12598 15452"
"273" "19108 11344"
"274" "18003 11087"
"275" "13184 18152"
"276" "20315 17625"
"277" "10470 10511"
"278" "12598 18029"
"279" "16657 14687"
"280" "12598 12249"
"281" "13514 21657"
"282" "11087 13094"
"283" "19108 13287"
"284" "10470 15875"
"285" "21473 11087"
"286" "16657 15544"
"287" "10470 21469"
"288" "17625 15427"
"289" "19108 11330"
"290" "16657 1380003672"
"291" "13093 1380027746"
"292" "13514 12982"
"293" "16518 13292"
"294" "10470 1380011001"
"295" "10470 21451"
"296" "13342 11087"
"297" "11087 11911"
"298" "12864 13514"
"299" "19108 1380008113"
"300" "13342 16769"
"301" "10470 18046"
"302" "11721 14078"
"303" "21692 22134"
"304" "14078 14079"
"305" "16518 16769"
"306" "13514 18751"
"307" "10470 16657"
"308" "18223 14687"
"309" "13514 19734"
"310" "1380016436 12612"
"311" "16657 12308"
"312" "16769 17413"
"313" "16518 10470"
"314" "16518 13898"
"315" "13514 10813"
"316" "16518 11590"
"317" "13184 18223"
"318" "11087 14439"
"319" "13094 18007"
"320" "11087 13287"
"321" "17593 21533"
"322" "13514 14276"
"323" "15544 16518"
"324" "11087 16318"
"325" "12612 1380006364"
"326" "17437 10813"
"327" "16657 18039"
"328" "16657 1380008275"
"329" "13093 12127"
"330" "11087 21740"
"331" "13212 18344"
"332" "14687 20059"
"333" "14185 18223"
"334" "13514 21759"
"335" "13342 14012"
"336" "17062 11301"
"337" "16657 14286"
"338" "13514 18534"
"339" "15544 20059"
"340" "11193 17537"
"341" "21732 14687"
"342" "13094 12139"
"343" "13184 10470"
"344" "13514 19650"
"345" "10334 21632"
"346" "17650 18223"
"347" "10470 11464"
"348" "11728 11532"
"349" "13342 17439"
"350" "1380023273 18344"
"351" "13342 13001"
"352" "19108 18795"
"353" "13514 18924"
"354" "19312 16657"
"355" "13514 17147"
"356" "20533 13342"
"357" "16518 15875"
"358" "17625 16389"
"359" "21732 17625"
"360" "16518 18147"
"361" "10470 20092"
"362" "14078 13094"
"363" "10425 16518"
"364" "16518 17269"
"365" "10982 18223"
"366" "14687 17147"
"367" "13093 16518"
"368" "17062 20408"
"369" "11087 16472"
"370" "13514 13610"
"371" "10642 13094"
"372" "12598 16472"
"373" "10334 21754"
"374" "13514 17706"
"375" "11087 19734"
"376" "1380018635 14078"
"377" "13093 11087"
"378" "12311 20408"
"379" "12612 10804"
"380" "11721 16657"
"381" "18223 15022"
"382" "1380040175 12612"
"383" "21730 10470"
"384" "13514 11532"
"385" "11193 12786"
"386" "13094 10813"
"387" "19108 21744"
"388" "10470 16472"
"389" "11286 18344"
