observations,TravelTime,startNodeID,endNodeID,interval
1,828,12565,13098,2010-03-08 09:25:00
1,1321,19522,10580,2010-03-08 21:30:00
1,619,20481,11863,2010-05-08 13:25:00
1,1499,12131,18484,2010-05-08 19:15:00
2,1104,17624,11516,2010-02-08 21:55:00
1,401,16700,14590,2010-02-08 21:45:00
1,549,16118,11132,2010-04-08 08:25:00
3,181,20273,13069,2010-04-08 12:15:00
1,1258,1380013514,14342,2010-05-08 08:55:00
3,475,12366,11555,2010-04-08 11:30:00
1,290,21515,22055,2010-03-08 11:10:00
2,470,12320,16597,2010-05-08 04:05:00
1,908,14231,17949,2010-03-08 19:15:00
1,548,14443,17907,2010-02-08 18:25:00
1,735,10463,20273,2010-05-08 21:25:00
3,453,21238,16120,2010-04-08 05:40:00
2,604,21043,15489,2010-04-08 20:45:00
1,449,20273,17282,2010-05-08 15:55:00
1,511,1380012824,19286,2010-05-08 22:35:00
3,561,12249,10373,2010-02-08 07:45:00
1,725,1380012824,1380011474,2010-04-08 23:25:00
1,540,1380012824,11280,2010-05-08 18:35:00
1,646,20001,17775,2010-05-08 07:55:00
1,831,13835,1380009311,2010-05-08 10:05:00
2,364,17537,18484,2010-05-08 14:30:00
3,576,21541,10373,2010-02-08 01:15:00
1,365,10558,11364,2010-05-08 21:05:00
2,1217,19662,13608,2010-03-08 18:25:00
1,380,21162,15960,2010-05-08 19:30:00
2,1331,21238,18407,2010-02-08 06:10:00
1,1944,1380032143,13069,2010-05-08 15:40:00
9,546,1380009311,14792,2010-02-08 13:45:00
1,331,21176,17286,2010-02-08 17:30:00
1,1371,1380016127,16031,2010-05-08 19:05:00
1,458,13302,10940,2010-04-08 23:40:00
1,1904,21977,20586,2010-02-08 13:45:00
1,186,1380009311,1380039621,2010-03-08 21:15:00
1,535,15560,16421,2010-03-08 00:50:00
3,546,10058,20481,2010-04-08 19:45:00
1,183,10116,10145,2010-05-08 19:00:00
1,549,12366,19030,2010-02-08 12:45:00
1,543,18534,18862,2010-02-08 13:05:00
1,181,13854,12929,2010-04-08 18:30:00
1,1084,17379,1380009263,2010-03-08 15:25:00
2,784,17668,19472,2010-02-08 11:05:00
6,361,12049,16036,2010-04-08 13:45:00
1,1146,10813,12615,2010-05-08 14:55:00
1,543,17461,20450,2010-05-08 11:50:00
2,367,12671,11543,2010-04-08 13:25:00
1,186,21221,21221,2010-04-08 01:05:00
3,1265,17706,13936,2010-03-08 14:30:00
100,903,12728,12728,2010-04-08 19:55:00
1,715,12788,17537,2010-02-08 19:45:00
1,1520,1380032143,13740,2010-02-08 19:25:00
1,346,1380034174,16982,2010-04-08 00:15:00
1,1263,18801,20586,2010-03-08 07:25:00
2,1430,17624,21545,2010-03-08 15:15:00
1,380,12788,12308,2010-03-08 01:30:00
2,360,15220,15691,2010-04-08 14:05:00
1,181,21645,18033,2010-04-08 12:20:00
1,181,12159,12153,2010-04-08 11:10:00
1,699,11135,22130,2010-04-08 11:50:00
1,649,1380002815,13937,2010-02-08 19:35:00
1,1086,1380031729,16421,2010-03-08 08:00:00
1,1162,21242,21640,2010-03-08 15:45:00
4,882,13393,11251,2010-02-08 09:30:00
4,1096,21238,21238,2010-03-08 23:20:00
1,286,17104,19926,2010-05-08 20:05:00
1,541,13019,13945,2010-04-08 07:50:00
1,896,13687,15174,2010-03-08 10:10:00
2,1389,21238,10670,2010-04-08 15:30:00
1,996,13179,12768,2010-04-08 20:20:00
1,900,20322,14348,2010-05-08 14:50:00
1,365,19327,19340,2010-04-08 14:30:00
1,451,1380009007,12159,2010-03-08 21:05:00
1,357,17687,12158,2010-04-08 10:30:00
1,1249,17106,12897,2010-04-08 14:25:00
1,541,20232,14139,2010-05-08 20:40:00
2,368,1380023897,10543,2010-04-08 13:00:00
2,364,20280,16876,2010-03-08 11:25:00
3,363,20273,11863,2010-02-08 12:25:00
3,377,14651,16278,2010-02-08 14:40:00
1,182,21540,20235,2010-05-08 20:40:00
3,869,11458,20496,2010-02-08 10:00:00
2,361,1380034898,17679,2010-05-08 15:55:00
