Old_lane,New_lane
1051501,1051501
1051502,1051502
1051600,1051600
1051601,1051601
1051602,1051602
1051603,1051603
970600,970600
970601,970601
970602,970602
996800,996800
996801,996801
996802,996802
996803,996803
997000,997000
948400,948400
948401,948401
948402,948402
1151700,1151700
1151701,1151701
1151702,1151702
1050500,1050500
1050501,1050501
1050502,1050502
1050503,1050503
1050504,1050504
910700,910700
910701,910701
910702,910702
1144700,1144700
1144701,1144701
1144702,1144702
997700,997700
997701,997701
997702,997702
1034800,1034800
1034801,1034801
1034802,1034802
1035200,1035200
1035201,1035201
1035202,1035202
991400,991400
991401,991401
991402,991402
991403,991403
991700,991700
991701,991701
991702,991702
991703,991703
1143900,1143900
1143901,1143901
1143902,1143902
896600,896600
896601,896601
896602,896602
1240400,1240400
1240401,1240401
1240402,1240402
1240403,1240403
1240900,1240900
1240600,1240600
918500,918500
918501,918501
918502,918502
918503,918503
918504,918504
918900,918900
918901,918901
918902,918902
918903,918903
919000,919000
919001,919001
919002,919002
919003,919003
919004,919004
880100,880100
880101,880101
880102,880102
880103,880103
976300,976300
976301,976301
976302,976302
976303,976303
976600,976600
976601,976601
976602,976602
976700,976700
976701,976701
976702,976702
976703,976703
976900,976900
976901,976901
976902,976902
1075100,1075100
1075101,1075101
1075102,1075102
1075103,1075103
1075300,1075300
1075301,1075301
1075302,1075302
1075303,1075303
1075600,1075600
1075601,1075601
1075602,1075602
985500,985500
985501,985501
985502,985502
985503,985503
985504,985504
1086800,1086800
1086801,1086801
1086802,1086802
1086803,1086803
1086804,1086804
993700,993700
993701,993701
993702,993702
993703,993703
993704,993704
993300,993300
993301,993301
993302,993302
993303,993303
993304,993304
1087100,1087100
1087101,1087101
1087102,1087102
1087103,1087103
1087104,1087104
925100,925100
925101,925101
925102,925102
925103,925103
925104,925104
924000,924000
924001,924001
924002,924002
924003,924003
924004,924004
925600,925600
925601,925601
925602,925602
925603,925603
925604,925604
925700,925700
925701,925701
925702,925702
925703,925703
961100,961100
961101,961101
961400,961400
961401,961401
1240000,1240000
1240001,1240001
1726600,1726600
1726601,1726601
1738700,1738700
1738701,1738701
1738702,1738702
1800900,1800900
1800901,1800901
1800902,1800902
1744700,1744700
1744701,1744701
1744702,1744702
1913400,1913400
1730600,1730600
1730601,1730601
1907600,3124100
1907601,3124101
1907602,3124102
1751700,1751700
1751701,1751701
1751702,1751702
1737400,1737400
1737401,1737401
1737402,1737402
1737403,1737403
1737404,1737404
1725100,1725100
1725101,1725101
1725102,1725102
1707300,1707300
1707301,1707301
1707302,1707302
1707303,1707303
1773100,1773100
1773101,1773101
1773102,1773102
1773103,1773103
1773300,1773300
1773301,1773301
1773302,1773302
1773303,1773303
1773304,1773304
1684600,1684600
1684601,1684601
1684602,1684602
1684603,1684603
1061300,3130000
1061301,3130001
1061302,3130002
1061500,1061500
1061501,1061501
1219700,3118700
1219701,3130501
1219702,3130502
1215800,1215800
1215900,1215900
1215901,1215901
1215902,1215902
1134800,1134800
1134801,1134801
1013200,1013200
1013201,1013201
1013202,1013202
1216100,3128900
1216000,1216000
1216001,1216001
1216002,1216002
1161200,1161200
1161201,1161201
1161202,1161202
858700,858700
858701,858701
1128500,1128502
859800,859800
904200,904200
904201,904201
904202,904202
904203,904203
904204,904204
904900,904900
904901,904901
905000,905000
905001,905001
905002,905002
905003,905003
1719000,1719000
1719001,1719001
1719002,1719002
1719003,1719003
1719004,1719004
1719300,1719300
1719301,1719301
1719302,1719302
1719303,1719303
1719304,1719304
1719500,1719500
1719501,1719501
1719502,1719502
1719600,1719600
1719601,1719601
1719602,1719602
1719603,1719603
943800,943802
943801,943803
944000,944000
944001,944001
1054500,1066500
1054501,1066501
1054502,1066502
909700,909700
909701,909701
909702,909702
909703,909703
1133100,1133100
1133101,1133101
1133102,1133102
1133103,1133103
1215400,1215400
1215401,1215401
1215100,1215100
1215101,1215101
1215200,1215200
1215201,1215201
1130100,1130100
1130101,1130101
1130102,1130102
559600,559600
559601,559601
559602,559602
597100,597100
597101,597101
597102,597102
786900,786900
786901,786901
563000,563000
563001,563001
543500,543500
543501,543501
543502,543502
784400,784400
784401,784401
696900,696900
696901,696901
696902,696902
828700,828700
828701,828701
828702,828702
828703,828703
657800,657800
657801,657801
657802,657802
657803,657803
658100,658100
658101,658101
658102,658102
658103,658103
658104,658104
658200,658200
658201,658201
658202,658202
646400,646400
646401,646401
646402,646402
506200,506200
506201,506201
506202,506202
603700,603700
603701,603701
603702,603702
506500,506500
506501,506501
506502,506502
603500,603500
603501,603501
603502,603502
603503,603503
616900,616900
616901,616901
617100,617100
617101,617101
831100,831100
513100,513100
513101,513101
513102,513102
513103,513103
513104,513104
513105,513105
467200,467200
467201,467201
467202,467202
611600,611600
611601,611601
835900,835900
636600,636600
636601,636601
636602,636602
1032500,1032500
1032501,1032501
1032800,1032800
1032801,1032801
1032802,1032802
1032803,1032803
1032900,1032900
1032901,1032901
1032902,1032902
1032903,1032903
1033000,1033000
1033001,1033001
1033002,1033002
1033003,1033003
737500,737500
737501,737501
737502,737502
737503,737503
737504,737504
530900,530900
530901,530901
530902,530902
530903,530903
530904,530904
737700,737700
737701,737701
737702,737702
719600,719600
719601,719601
719602,719602
719603,719603
719604,719604
720100,720100
720101,720101
720102,720102
720200,720200
720201,720201
720202,720202
792500,792500
792501,792501
792502,792502
515800,515800
515801,515801
515802,515802
515803,515803
464400,464400
464401,464401
464402,464402
1115800,1115800
